=== SUMMARY LOG START ===
[2025-12-06T14:43:36.948601] log_and_depth module imported; DB + logs initialised.
[2025-12-06T14:45:20.527553] log_and_depth module imported; DB + logs initialised.
[2025-12-06T14:46:48.585541] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:02:01.239570] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:03:40.777724] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:06:28.946157] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:08:10.590845] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:09:26.913338] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:10:57.191699] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:12:10.781731] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:16:00.710620] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:20:19.635746] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:22:11.735033] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:24:00.176647] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:25:29.535538] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:29:51.167106] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:53:04.621297] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:54:02.484179] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:57:52.196073] log_and_depth module imported; DB + logs initialised.
[2025-12-06T15:59:02.773315] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:00:05.367866] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:01:56.429356] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:04:36.468943] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:05:44.302370] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:08:20.316110] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:11:05.968156] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:50:17.492508] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:50:50.815275] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:52:05.401327] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:53:13.118733] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:54:19.989993] log_and_depth module imported; DB + logs initialised.
[2025-12-06T16:57:45.353223] log_and_depth module imported; DB + logs initialised.
[2025-12-06T17:25:44.103312] log_and_depth module imported; DB + logs initialised.
[2025-12-06T17:33:40.550142] log_and_depth module imported; DB + logs initialised.
[2025-12-06T17:36:48.708141] log_and_depth module imported; DB + logs initialised.
[2025-12-06T17:39:41.735982] log_and_depth module imported; DB + logs initialised.
[2025-12-06T17:43:11.839306] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:10:05.275034] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:10:55.041384] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:21:44.384260] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:25:18.742839] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:39:54.360995] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:41:44.688820] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:43:20.363757] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:49:07.819479] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:52:03.320008] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:54:15.458744] log_and_depth module imported; DB + logs initialised.
[2025-12-06T18:55:27.520563] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:14:19.375238] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:16:16.430530] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:17:05.045189] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:20:43.256000] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:21:49.668533] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:24:21.981566] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:46:46.857242] log_and_depth module imported; DB + logs initialised.
[2025-12-06T20:47:30.557732] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:21:24.741667] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:26:16.114250] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:28:45.585209] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:46:30.791210] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:48:23.257640] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:49:38.675170] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:53:58.318537] log_and_depth module imported; DB + logs initialised.
[2025-12-06T21:58:19.274631] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:02:37.818346] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:03:28.140889] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:06:14.891091] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:08:01.299939] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:14:37.122363] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:18:15.313318] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:21:06.137935] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:23:31.430311] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:24:41.523201] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:28:42.802071] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:33:22.983072] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:46:04.851901] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:47:27.856623] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:48:43.516019] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:54:54.395335] log_and_depth module imported; DB + logs initialised.
[2025-12-06T22:56:57.528914] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:01:13.472655] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:05:12.812268] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:08:04.385527] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:12:44.381239] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:22:14.924116] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:24:33.109369] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:39:00.052281] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:47:44.295347] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:50:25.867810] log_and_depth module imported; DB + logs initialised.
[2025-12-06T23:52:05.744773] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:02:53.991024] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:06:15.367175] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:09:20.531875] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:13:43.962472] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:17:18.777012] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:26:30.856799] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:28:13.157171] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:31:41.629682] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:35:18.931575] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:37:51.520456] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:40:17.815903] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:50:27.922563] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:52:49.231200] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:54:31.303701] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:57:54.322108] log_and_depth module imported; DB + logs initialised.
[2025-12-07T00:58:42.595889] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:01:38.587577] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:04:38.450308] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:05:53.399772] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:07:53.517767] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:10:01.712675] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:11:43.455383] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:15:16.681333] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:16:46.609768] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:18:31.956940] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:19:38.995309] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:22:34.509420] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:24:40.297573] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:27:31.565645] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:31:30.868985] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:34:15.216405] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:39:08.222426] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:45:15.196743] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:48:37.802634] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:50:19.587286] log_and_depth module imported; DB + logs initialised.
[2025-12-07T01:59:33.618540] log_and_depth module imported; DB + logs initialised.
[2025-12-07T02:02:47.559644] log_and_depth module imported; DB + logs initialised.
[2025-12-07T02:06:49.166527] log_and_depth module imported; DB + logs initialised.
[2025-12-07T02:09:13.425830] log_and_depth module imported; DB + logs initialised.
[2025-12-07T23:05:15.608053] log_and_depth module imported; DB + logs initialised.
[2025-12-07T23:16:36.744276] log_and_depth module imported; DB + logs initialised.
[2025-12-07T23:33:07.674234] log_and_depth module imported; DB + logs initialised.
[2025-12-07T23:34:20.339755] log_and_depth module imported; DB + logs initialised.
[2025-12-07T23:35:40.364707] log_and_depth module imported; DB + logs initialised.
[2025-12-08T00:19:50.945461] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:11:47.293122] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:14:17.504699] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:15:14.339991] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:17:34.109645] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:19:14.303170] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:21:00.487630] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:23:17.547492] log_and_depth module imported; DB + logs initialised.
[2025-12-08T01:24:38.457442] log_and_depth module imported; DB + logs initialised.
[2025-12-08T02:20:20.082212] log_and_depth module imported; DB + logs initialised.
[2025-12-08T03:23:51.511545] log_and_depth module imported; DB + logs initialised.
[2025-12-08T03:35:38.139862] log_and_depth module imported; DB + logs initialised.
[2025-12-08T03:36:00.748986] log_and_depth module imported; DB + logs initialised.
[2025-12-08T03:57:37.405233] log_and_depth module imported; DB + logs initialised.
[2025-12-08T04:01:26.553954] log_and_depth module imported; DB + logs initialised.
[2025-12-08T04:07:54.555886] log_and_depth module imported; DB + logs initialised.
[2025-12-08T18:58:25.422769] log_and_depth module imported; DB + logs initialised.
[2025-12-08T19:01:12.653028] log_and_depth module imported; DB + logs initialised.
[2025-12-08T19:04:01.738588] log_and_depth module imported; DB + logs initialised.
[2025-12-08T19:05:18.968583] log_and_depth module imported; DB + logs initialised.
[2025-12-08T19:06:39.048578] log_and_depth module imported; DB + logs initialised.
[2025-12-08T19:08:26.507602] log_and_depth module imported; DB + logs initialised.
[2025-12-08T19:11:38.192197] log_and_depth module imported; DB + logs initialised.
[2025-12-08T19:13:20.817693] log_and_depth module imported; DB + logs initialised.
[2025-12-08T21:08:27.703601] log_and_depth module imported; DB + logs initialised.
[2025-12-08T21:33:54.057765] log_and_depth module imported; DB + logs initialised.
[2025-12-08T21:45:34.618901] log_and_depth module imported; DB + logs initialised.
[2025-12-08T21:51:02.640202] log_and_depth module imported; DB + logs initialised.
[2025-12-08T21:53:20.517563] log_and_depth module imported; DB + logs initialised.
[2025-12-08T21:54:20.834363] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:02:58.369193] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:04:25.680163] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:05:42.085549] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:06:59.980780] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:08:03.538207] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:08:55.932373] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:09:38.660302] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:10:27.558950] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:11:07.117644] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:18:48.816515] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:19:39.172422] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:22:30.267172] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:28:04.902002] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:31:36.609222] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:33:36.724868] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:40:25.779924] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:41:13.466869] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:42:11.710168] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:42:59.273359] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:44:16.728039] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:45:14.763002] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:46:02.964703] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:54:00.754314] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:55:15.801025] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:56:28.259388] log_and_depth module imported; DB + logs initialised.
[2025-12-08T22:57:51.427919] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:08:40.902581] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:09:59.700170] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:11:32.325135] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:13:14.504362] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:17:01.175670] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:22:26.834044] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:23:30.284615] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:31:47.326749] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:33:54.971787] log_and_depth module imported; DB + logs initialised.
[2025-12-08T23:38:01.674539] log_and_depth module imported; DB + logs initialised.
[2025-12-09T00:02:37.134440] log_and_depth module imported; DB + logs initialised.
[2025-12-09T00:05:25.495545] log_and_depth module imported; DB + logs initialised.
[2025-12-10T02:55:29.221332] log_and_depth module imported; DB + logs initialised.
[2025-12-10T02:56:25.635933] log_and_depth module imported; DB + logs initialised.
[2025-12-10T02:56:49.462431] log_and_depth module imported; DB + logs initialised.
[2025-12-22T21:45:45.080034] log_and_depth module imported; DB + logs initialised.
[2025-12-22T22:15:31.616235] log_and_depth module imported; DB + logs initialised.
